LAD22CD,Geography,Population
K04000001,Country,60245218
E92000001,Country,57112542
E12000001,Region,2682069
E06000047,Unitary Authority,527704
E06000005,Unitary Authority,109413
E06000001,Unitary Authority,93847
E06000002,Unitary Authority,148583
E06000057,Unitary Authority,324286
E06000003,Unitary Authority,137168
E06000004,Unitary Authority,200112
E11000007,Metropolitan County,1140956
E08000037,Metropolitan District,197922
E08000021,Metropolitan District,306402
E08000022,Metropolitan District,210512
E08000023,Metropolitan District,148608
E08000024,Metropolitan District,277512
E12000002,Region,7515718
E06000008,Unitary Authority,155823
E06000009,Unitary Authority,141648
E06000049,Unitary Authority,406587
E06000050,Unitary Authority,361799
E06000006,Unitary Authority,129008
E06000007,Unitary Authority,211797
E10000006,County,502979
E07000026,Non-metropolitan District,96556
E07000027,Non-metropolitan District,67354
E07000028,Non-metropolitan District,111350
E07000029,Non-metropolitan District,67425
E07000030,Non-metropolitan District,55473
E07000031,Non-metropolitan District,104821
E11000001,Metropolitan County,2910993
E08000001,Metropolitan District,299153
E08000002,Metropolitan District,194590
E08000003,Metropolitan District,566778
E08000004,Metropolitan District,243993
E08000005,Metropolitan District,226950
E08000006,Metropolitan District,278867
E08000007,Metropolitan District,297191
E08000008,Metropolitan District,232806
E08000009,Metropolitan District,236651
E08000010,Metropolitan District,334014
E10000017,County,1253922
E07000117,Non-metropolitan District,95655
E07000118,Non-metropolitan District,118623
E07000119,Non-metropolitan District,82990
E07000120,Non-metropolitan District,83215
E07000121,Non-metropolitan District,144561
E07000122,Non-metropolitan District,96197
E07000123,Non-metropolitan District,151869
E07000124,Non-metropolitan District,63140
E07000125,Non-metropolitan District,71187
E07000126,Non-metropolitan District,112201
E07000127,Non-metropolitan District,119360
E07000128,Non-metropolitan District,114924
E11000002,Metropolitan County,1441162
E08000011,Metropolitan District,157107
E08000012,Metropolitan District,495849
E08000014,Metropolitan District,281039
E08000013,Metropolitan District,184728
E08000015,Metropolitan District,322439
E12000003,Region,5538213
E06000011,Unitary Authority,346316
E06000010,Unitary Authority,268677
E06000012,Unitary Authority,157745
E06000013,Unitary Authority,170085
E06000014,Unitary Authority,204115
E10000023,County,623896
E07000163,Non-metropolitan District,57812
E07000164,Non-metropolitan District,92076
E07000165,Non-metropolitan District,165906
E07000166,Non-metropolitan District,50108
E07000167,Non-metropolitan District,55326
E07000168,Non-metropolitan District,109055
E07000169,Non-metropolitan District,93613
E11000003,Metropolitan County,1390381
E08000016,Metropolitan District,246448
E08000017,Metropolitan District,310964
E08000018,Metropolitan District,268267
E08000019,Metropolitan District,564702
E11000006,Metropolitan County,2376998
E08000032,Metropolitan District,553044
E08000033,Metropolitan District,207660
E08000034,Metropolitan District,437794
E08000035,Metropolitan District,820802
E08000036,Metropolitan District,357698
E12000004,Region,4934832
E06000015,Unitary Authority,263620
E06000016,Unitary Authority,372495
E06000018,Unitary Authority,327424
E06000017,Unitary Authority,41225
E06000061,Unitary Authority,363244
E06000062,Unitary Authority,429511
E10000007,County,803455
E07000032,Non-metropolitan District,126934
E07000033,Non-metropolitan District,81541
E07000034,Non-metropolitan District,104104
E07000035,Non-metropolitan District,71755
E07000036,Non-metropolitan District,113073
E07000037,Non-metropolitan District,91106
E07000038,Non-metropolitan District,103797
E07000039,Non-metropolitan District,111145
E10000018,County,722940
E07000129,Non-metropolitan District,104283
E07000130,Non-metropolitan District,185266
E07000131,Non-metropolitan District,100550
E07000132,Non-metropolitan District,114315
E07000133,Non-metropolitan District,52404
E07000134,Non-metropolitan District,107666
E07000135,Non-metropolitan District,58456
E10000019,County,775864
E07000136,Non-metropolitan District,70831
E07000137,Non-metropolitan District,144400
E07000138,Non-metropolitan District,102964
E07000139,Non-metropolitan District,119689
E07000140,Non-metropolitan District,96964
E07000141,Non-metropolitan District,144228
E07000142,Non-metropolitan District,96788
E10000024,County,835054
E07000170,Non-metropolitan District,127101
E07000171,Non-metropolitan District,119985
E07000172,Non-metropolitan District,112395
E07000173,Non-metropolitan District,117682
E07000174,Non-metropolitan District,111070
E07000175,Non-metropolitan District,125056
E07000176,Non-metropolitan District,121765
E12000005,Region,6017026
E06000019,Unitary Authority,188696
E06000051,Unitary Authority,327479
E06000021,Unitary Authority,260008
E06000020,Unitary Authority,189000
E10000028,County,886294
E07000192,Non-metropolitan District,101144
E07000193,Non-metropolitan District,125692
E07000194,Non-metropolitan District,108337
E07000195,Non-metropolitan District,125404
E07000196,Non-metropolitan District,111530
E07000197,Non-metropolitan District,138644
E07000198,Non-metropolitan District,95904
E07000199,Non-metropolitan District,79639
E10000031,County,607713
E07000218,Non-metropolitan District,65947
E07000219,Non-metropolitan District,135499
E07000220,Non-metropolitan District,116461
E07000221,Non-metropolitan District,138573
E07000222,Non-metropolitan District,151233
E11000005,Metropolitan County,2948513
E08000025,Metropolitan District,1154221
E08000026,Metropolitan District,352889
E08000027,Metropolitan District,324931
E08000028,Metropolitan District,344582
E08000029,Metropolitan District,217784
E08000030,Metropolitan District,286218
E08000031,Metropolitan District,267888
E10000034,County,609323
E07000234,Non-metropolitan District,100155
E07000235,Non-metropolitan District,81070
E07000236,Non-metropolitan District,87129
E07000237,Non-metropolitan District,104119
