LAD22CD,LAD22NM,LAs_London,Community_Buildings,Defence,Commerce,Landfill,Mining,Residential,Transport,Utilities,Unknown_development,Agriculture,Forests,Natural,Grassland,Water,Recreation,Gardens,Vacant
E92000001,England,NaN,0.7,0,0.4,0,0.1,1.3,4.2,0.2,1.9,63.1,10.7,4.9,3.4,1.1,2.1,4.9,0.2
E12000004,East Midlands,NaN,0.6,0,0.3,0,0.2,1,3.8,0.2,1.9,73.5,7.3,1.9,1.3,1.3,1.7,4.1,0.2
E12000006,East of England,NaN,0.7,0,0.3,0,0,1.1,4,0.2,1.7,72.3,8.7,0.9,0.9,1.4,2,4.9,0.2
E12000007,London,NaN,4.9,0,2.1,0,0,10.7,16.3,0.3,6.3,10.3,5.4,0.1,0.7,1.2,13.9,24,0.7
E12000001,North East,NaN,0.6,0,0.4,0,0.1,1,3.5,0.1,1.5,48.3,13.9,15.4,8.9,0.9,1.6,2.7,0.2
E12000002,North West,NaN,0.9,0,0.5,0,0.1,1.5,4.5,0.1,2.2,48.4,9.4,13.7,8.7,1.6,2.4,4.9,0.2
E12000008,South East,NaN,1,0,0.4,0,0,1.5,4.8,0.2,2,58.6,16.7,1.1,1.2,1.2,3.1,7.1,0.2
E12000009,South West,NaN,0.4,0,0.2,0,0,0.8,3.6,0.2,1.6,68.6,11.4,3.2,3.4,0.8,1.2,3.7,0.1
E12000005,West Midlands,NaN,0.8,0,0.4,0,0,1.3,4.3,0.1,2.2,68.9,10.1,0.6,1.2,1.1,2.2,5.5,0.2
E12000003,Yorkshire and The Humber,NaN,0.6,0,0.4,0,0.1,1,3.9,0.1,1.8,60.7,8.4,10.3,5.3,1,1.6,3.8,0.1
E07000223,Adur,Not_London,3.2,0,0.8,0,0,4.5,10.8,0.2,2.9,50.7,4,1.5,2.2,0.8,3.1,13.4,0.4
E07000026,Allerdale,Not_London,0.2,0,0.1,0,0,0.3,2.3,0.1,1,55.2,7.1,20.3,8.2,2,1.5,1.3,0.1
E07000032,Amber Valley,Not_London,0.8,0,0.6,0,0,1.6,4.2,0.1,2.8,66.5,9.8,0.2,0.8,0.8,3.4,7.1,0.3
E07000224,Arun,Not_London,0.8,0,0.4,0,0.1,2.6,5.7,0.4,2.9,55.2,16.3,0.6,0.7,0.7,2,9.6,0.4
E07000170,Ashfield,Not_London,1.9,0,1.7,0.1,0,3.4,7.1,0.4,3.9,42.8,14,0,1.3,0.5,7.5,12.5,0.4
E07000105,Ashford,Not_London,0.4,0,0.2,0.1,0,0.7,3.5,0.1,1.4,69.5,15.6,0,0.5,1.2,1.2,4.7,0.2
